device:  cpu
iter: 10 loss: 2.277869701385498, accy: 0.2
iter: 20 loss: 2.3038549423217773, accy: 0.1
iter: 30 loss: 2.233750581741333, accy: 0.38
iter: 40 loss: 2.262511968612671, accy: 0.28
iter: 50 loss: 2.2082018852233887, accy: 0.32
iter: 60 loss: 2.1862735748291016, accy: 0.34
iter: 70 loss: 2.1569480895996094, accy: 0.34
iter: 80 loss: 2.1378846168518066, accy: 0.28
iter: 90 loss: 2.0879573822021484, accy: 0.38
iter: 100 loss: 2.021610975265503, accy: 0.42
iter: 110 loss: 1.9413557052612305, accy: 0.52
iter: 120 loss: 1.915293574333191, accy: 0.44
iter: 130 loss: 1.915187954902649, accy: 0.44
iter: 140 loss: 1.903316617012024, accy: 0.46
iter: 150 loss: 1.8937950134277344, accy: 0.44
iter: 160 loss: 1.8163059949874878, accy: 0.48
iter: 170 loss: 1.8250336647033691, accy: 0.46
iter: 180 loss: 1.8099641799926758, accy: 0.46
iter: 190 loss: 1.753089189529419, accy: 0.44
iter: 200 loss: 1.6482194662094116, accy: 0.54
iter: 210 loss: 1.681785225868225, accy: 0.48
iter: 220 loss: 1.6697198152542114, accy: 0.5
iter: 230 loss: 1.6956002712249756, accy: 0.46
iter: 240 loss: 1.4884203672409058, accy: 0.62
iter: 250 loss: 1.5232529640197754, accy: 0.56
iter: 260 loss: 1.3883106708526611, accy: 0.64
iter: 270 loss: 1.276749849319458, accy: 0.58
iter: 280 loss: 1.4829882383346558, accy: 0.52
iter: 290 loss: 1.330054521560669, accy: 0.64
iter: 300 loss: 1.245030164718628, accy: 0.62
iter: 310 loss: 1.303315281867981, accy: 0.68
iter: 320 loss: 1.275536298751831, accy: 0.64
iter: 330 loss: 1.3422465324401855, accy: 0.58
iter: 340 loss: 1.204443097114563, accy: 0.6
iter: 350 loss: 1.230372428894043, accy: 0.6
iter: 360 loss: 1.2624717950820923, accy: 0.64
iter: 370 loss: 1.2770164012908936, accy: 0.54
iter: 380 loss: 1.4055392742156982, accy: 0.48
iter: 390 loss: 1.1601505279541016, accy: 0.54
iter: 400 loss: 0.9476146697998047, accy: 0.78
iter: 410 loss: 1.2286843061447144, accy: 0.62
iter: 420 loss: 1.0170360803604126, accy: 0.72
iter: 430 loss: 1.0331097841262817, accy: 0.7
iter: 440 loss: 1.2089322805404663, accy: 0.66
iter: 450 loss: 0.9323327541351318, accy: 0.72
iter: 460 loss: 1.0222039222717285, accy: 0.7
iter: 470 loss: 0.85712730884552, accy: 0.76
iter: 480 loss: 1.097407341003418, accy: 0.66
iter: 490 loss: 0.9173946380615234, accy: 0.7
iter: 500 loss: 1.0776660442352295, accy: 0.62
iter: 510 loss: 1.0751473903656006, accy: 0.66
iter: 520 loss: 1.0267583131790161, accy: 0.68
iter: 530 loss: 1.0399035215377808, accy: 0.64
iter: 540 loss: 0.9011858105659485, accy: 0.64
iter: 550 loss: 1.1253033876419067, accy: 0.66
iter: 560 loss: 0.9094120860099792, accy: 0.74
iter: 570 loss: 0.9841253757476807, accy: 0.72
iter: 580 loss: 0.927992045879364, accy: 0.7
iter: 590 loss: 1.1528520584106445, accy: 0.66
iter: 600 loss: 0.9038822054862976, accy: 0.72
iter: 610 loss: 1.0646889209747314, accy: 0.62
iter: 620 loss: 0.8766127228736877, accy: 0.72
iter: 630 loss: 0.81177818775177, accy: 0.7
iter: 640 loss: 0.8719958662986755, accy: 0.7
iter: 650 loss: 0.9719056487083435, accy: 0.72
iter: 660 loss: 0.9932363629341125, accy: 0.74
iter: 670 loss: 0.8895081877708435, accy: 0.7
iter: 680 loss: 0.9868428707122803, accy: 0.74
iter: 690 loss: 0.8370397090911865, accy: 0.7
iter: 700 loss: 0.950039267539978, accy: 0.68
iter: 710 loss: 0.8036090135574341, accy: 0.72
iter: 720 loss: 0.8490134477615356, accy: 0.72
iter: 730 loss: 0.7399570345878601, accy: 0.8
iter: 740 loss: 0.8102506995201111, accy: 0.7
iter: 750 loss: 0.7089167237281799, accy: 0.78
iter: 760 loss: 0.8484964966773987, accy: 0.9
iter: 770 loss: 0.8094881176948547, accy: 0.72
iter: 780 loss: 0.8559273481369019, accy: 0.7
iter: 790 loss: 0.9925520420074463, accy: 0.72
iter: 800 loss: 0.9631551504135132, accy: 0.66
iter: 810 loss: 0.7048560976982117, accy: 0.82
iter: 820 loss: 0.7675465941429138, accy: 0.8
iter: 830 loss: 0.8101972341537476, accy: 0.72
iter: 840 loss: 1.0289092063903809, accy: 0.68
iter: 850 loss: 1.0882891416549683, accy: 0.64
