2023-04-06 23:48:56,855 INFO    MainThread:57268 [wandb_setup.py:_flush():76] Configure stats pid to 57268
2023-04-06 23:48:56,856 INFO    MainThread:57268 [wandb_setup.py:_flush():76] Loading settings from /Users/huajieshao/.config/wandb/settings
2023-04-06 23:48:56,856 INFO    MainThread:57268 [wandb_setup.py:_flush():76] Loading settings from /Users/huajieshao/Dropbox/WM-courses-Research/CSCI420-Data-Mining-Undergrad/Demo-code/Pytorch-demo/wandb/settings
2023-04-06 23:48:56,856 INFO    MainThread:57268 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-06 23:48:56,857 INFO    MainThread:57268 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-06 23:48:56,857 INFO    MainThread:57268 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-06 23:48:56,857 INFO    MainThread:57268 [wandb_init.py:_log_setup():507] Logging user logs to /Users/huajieshao/Dropbox/WM-courses-Research/CSCI420-Data-Mining-Undergrad/Demo-code/Pytorch-demo/wandb/run-20230406_234856-6e08zxht/logs/debug.log
2023-04-06 23:48:56,857 INFO    MainThread:57268 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/huajieshao/Dropbox/WM-courses-Research/CSCI420-Data-Mining-Undergrad/Demo-code/Pytorch-demo/wandb/run-20230406_234856-6e08zxht/logs/debug-internal.log
2023-04-06 23:48:56,857 INFO    MainThread:57268 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fdaf1f5b220>
2023-04-06 23:48:56,858 INFO    MainThread:57268 [wandb_init.py:init():547] calling init triggers
2023-04-06 23:48:56,858 INFO    MainThread:57268 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-06 23:48:56,858 INFO    MainThread:57268 [wandb_init.py:init():595] starting backend
2023-04-06 23:48:56,858 INFO    MainThread:57268 [wandb_init.py:init():599] setting up manager
2023-04-06 23:48:56,867 INFO    MainThread:57268 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-04-06 23:48:56,872 INFO    MainThread:57268 [wandb_init.py:init():605] backend started and connected
2023-04-06 23:48:56,888 INFO    MainThread:57268 [wandb_run.py:_label_probe_notebook():1237] probe notebook
2023-04-06 23:48:56,888 INFO    MainThread:57268 [wandb_init.py:init():695] updated telemetry
2023-04-06 23:48:56,908 INFO    MainThread:57268 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-06 23:48:57,180 INFO    MainThread:57268 [wandb_run.py:_on_init():2176] communicating current version
2023-04-06 23:48:57,613 INFO    MainThread:57268 [wandb_run.py:_on_init():2185] got version response 
2023-04-06 23:48:57,643 INFO    MainThread:57268 [wandb_init.py:init():782] starting run threads in backend
2023-04-06 23:48:59,639 INFO    MainThread:57268 [wandb_run.py:_console_start():2157] atexit reg
2023-04-06 23:48:59,639 INFO    MainThread:57268 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-06 23:48:59,639 INFO    MainThread:57268 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-06 23:48:59,639 INFO    MainThread:57268 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-06 23:48:59,640 INFO    MainThread:57268 [wandb_init.py:init():824] run started, returning control to user process
2023-04-06 23:49:08,937 INFO    MainThread:57268 [wandb_run.py:_finish():1892] finishing run uiuc-taylor/MLP/6e08zxht
2023-04-06 23:49:08,937 INFO    MainThread:57268 [jupyter.py:save_history():445] not saving jupyter history
2023-04-06 23:49:08,937 INFO    MainThread:57268 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 23:49:08,937 INFO    MainThread:57268 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-04-06 23:49:08,937 INFO    MainThread:57268 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 1
2023-04-06 23:49:08,937 INFO    MainThread:57268 [wandb_run.py:_restore():2109] restore
2023-04-06 23:49:08,937 INFO    MainThread:57268 [wandb_run.py:_restore():2115] restore done
2023-04-06 23:49:12,389 INFO    MainThread:57268 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-06 23:49:12,390 INFO    MainThread:57268 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-06 23:49:12,405 INFO    MainThread:57268 [wandb_run.py:_footer_sync_info():3434] logging synced files
