device:  cpu
iter: 10 loss: 2.2467539310455322, accy: 0.16
iter: 20 loss: 2.26986026763916, accy: 0.16
iter: 30 loss: 2.2397360801696777, accy: 0.24
iter: 40 loss: 2.248927593231201, accy: 0.22
iter: 50 loss: 2.2449376583099365, accy: 0.2
iter: 60 loss: 2.188424825668335, accy: 0.24
iter: 70 loss: 2.1766555309295654, accy: 0.32
iter: 80 loss: 2.1025702953338623, accy: 0.4
iter: 90 loss: 2.14996337890625, accy: 0.26
iter: 100 loss: 2.0548348426818848, accy: 0.38
iter: 110 loss: 2.0163094997406006, accy: 0.4
iter: 120 loss: 2.0130138397216797, accy: 0.42
iter: 130 loss: 1.9852347373962402, accy: 0.42
iter: 140 loss: 1.854904294013977, accy: 0.5
iter: 150 loss: 1.8025190830230713, accy: 0.5
iter: 160 loss: 1.8375836610794067, accy: 0.42
iter: 170 loss: 1.8970354795455933, accy: 0.4
iter: 180 loss: 1.7094659805297852, accy: 0.64
iter: 190 loss: 1.7193937301635742, accy: 0.58
iter: 200 loss: 1.8723993301391602, accy: 0.34
iter: 210 loss: 1.589950442314148, accy: 0.66
iter: 220 loss: 1.5335278511047363, accy: 0.52
iter: 230 loss: 1.669425368309021, accy: 0.52
iter: 240 loss: 1.5621391534805298, accy: 0.58
iter: 250 loss: 1.5037178993225098, accy: 0.48
iter: 260 loss: 1.562606692314148, accy: 0.58
iter: 270 loss: 1.4229302406311035, accy: 0.56
iter: 280 loss: 1.3887966871261597, accy: 0.6
iter: 290 loss: 1.3442095518112183, accy: 0.68
iter: 300 loss: 1.4333382844924927, accy: 0.62
iter: 310 loss: 1.4879614114761353, accy: 0.58
iter: 320 loss: 1.3330093622207642, accy: 0.66
iter: 330 loss: 1.404258131980896, accy: 0.54
iter: 340 loss: 1.400283694267273, accy: 0.52
iter: 350 loss: 1.153747320175171, accy: 0.66
iter: 360 loss: 1.1691718101501465, accy: 0.6
iter: 370 loss: 1.3099762201309204, accy: 0.62
iter: 380 loss: 1.307212233543396, accy: 0.56
iter: 390 loss: 0.9796109199523926, accy: 0.78
iter: 400 loss: 0.9660016894340515, accy: 0.74
iter: 410 loss: 1.1110928058624268, accy: 0.7
iter: 420 loss: 1.0859538316726685, accy: 0.6
iter: 430 loss: 1.1572061777114868, accy: 0.56
iter: 440 loss: 1.2955676317214966, accy: 0.58
iter: 450 loss: 1.1284682750701904, accy: 0.72
iter: 460 loss: 0.9637647867202759, accy: 0.76
iter: 470 loss: 1.0471787452697754, accy: 0.66
iter: 480 loss: 1.1789124011993408, accy: 0.52
iter: 490 loss: 1.1476362943649292, accy: 0.6
iter: 500 loss: 0.9790224432945251, accy: 0.76
iter: 510 loss: 1.2452294826507568, accy: 0.54
iter: 520 loss: 0.9884700179100037, accy: 0.72
iter: 530 loss: 1.1874984502792358, accy: 0.68
iter: 540 loss: 1.0843719244003296, accy: 0.54
iter: 550 loss: 0.9360860586166382, accy: 0.7
iter: 560 loss: 1.0093321800231934, accy: 0.66
iter: 570 loss: 0.9560004472732544, accy: 0.74
iter: 580 loss: 1.1256964206695557, accy: 0.68
iter: 590 loss: 0.8320965766906738, accy: 0.74
iter: 600 loss: 1.0907433032989502, accy: 0.7
iter: 610 loss: 0.9513156414031982, accy: 0.68
iter: 620 loss: 0.9581708312034607, accy: 0.66
iter: 630 loss: 0.7915109992027283, accy: 0.76
iter: 640 loss: 1.0118730068206787, accy: 0.72
iter: 650 loss: 1.1321287155151367, accy: 0.52
iter: 660 loss: 0.8661041855812073, accy: 0.7
iter: 670 loss: 0.8503077030181885, accy: 0.72
iter: 680 loss: 1.0615077018737793, accy: 0.62
iter: 690 loss: 0.9714654684066772, accy: 0.68
iter: 700 loss: 0.6214282512664795, accy: 0.84
iter: 710 loss: 0.7741366028785706, accy: 0.84
iter: 720 loss: 0.8546753525733948, accy: 0.74
iter: 730 loss: 0.883719801902771, accy: 0.68
iter: 740 loss: 0.9443425536155701, accy: 0.66
iter: 750 loss: 0.9027165174484253, accy: 0.78
iter: 760 loss: 1.0119092464447021, accy: 0.74
iter: 770 loss: 0.8208897113800049, accy: 0.7
iter: 780 loss: 0.9902171492576599, accy: 0.64
iter: 790 loss: 1.0423575639724731, accy: 0.62
iter: 800 loss: 0.8834190368652344, accy: 0.62
iter: 810 loss: 0.6991832852363586, accy: 0.78
iter: 820 loss: 0.7899335622787476, accy: 0.76
iter: 830 loss: 0.8160337805747986, accy: 0.72
iter: 840 loss: 0.8713681697845459, accy: 0.66
iter: 850 loss: 0.9506409168243408, accy: 0.7
iter: 860 loss: 0.7948550581932068, accy: 0.76
iter: 870 loss: 0.9223738312721252, accy: 0.72
iter: 880 loss: 0.8626157641410828, accy: 0.66
iter: 890 loss: 0.7213795185089111, accy: 0.78
iter: 900 loss: 0.7717116475105286, accy: 0.74
iter: 910 loss: 0.7851728200912476, accy: 0.68
iter: 920 loss: 0.9384496212005615, accy: 0.68
iter: 930 loss: 0.7435992956161499, accy: 0.72
iter: 940 loss: 0.8264179825782776, accy: 0.74
iter: 950 loss: 0.9213449358940125, accy: 0.62
iter: 960 loss: 0.8229718208312988, accy: 0.7
iter: 970 loss: 0.9447715282440186, accy: 0.6
iter: 980 loss: 0.9404693841934204, accy: 0.76
iter: 990 loss: 0.7916110754013062, accy: 0.74
iter: 1000 loss: 1.010033369064331, accy: 0.64
iter: 1010 loss: 0.6092187762260437, accy: 0.82
iter: 1020 loss: 0.7363540530204773, accy: 0.76
iter: 1030 loss: 0.9942890405654907, accy: 0.64
iter: 1040 loss: 0.9045221209526062, accy: 0.68
iter: 1050 loss: 0.7583552598953247, accy: 0.74
iter: 1060 loss: 0.7545376420021057, accy: 0.7
iter: 1070 loss: 0.9781273007392883, accy: 0.66
iter: 1080 loss: 0.5964972376823425, accy: 0.76
iter: 1090 loss: 0.8048147559165955, accy: 0.8
iter: 1100 loss: 0.5415899753570557, accy: 0.84
iter: 1110 loss: 0.751720130443573, accy: 0.8
iter: 1120 loss: 0.7623206973075867, accy: 0.74
iter: 1130 loss: 0.5652281045913696, accy: 0.82
iter: 1140 loss: 0.6533563137054443, accy: 0.8
iter: 1150 loss: 0.8478579521179199, accy: 0.78
iter: 1160 loss: 0.7785489559173584, accy: 0.78
iter: 1170 loss: 0.5699284076690674, accy: 0.86
iter: 1180 loss: 0.8403327465057373, accy: 0.76
iter: 1190 loss: 0.6847904324531555, accy: 0.8
iter: 1200 loss: 0.7273537516593933, accy: 0.76
iter: 1210 loss: 0.7293158173561096, accy: 0.76
iter: 1220 loss: 0.6519935727119446, accy: 0.8
iter: 1230 loss: 0.8408216238021851, accy: 0.74
iter: 1240 loss: 0.7788043022155762, accy: 0.72
iter: 1250 loss: 0.7588313221931458, accy: 0.74
iter: 1260 loss: 0.7038848996162415, accy: 0.82
iter: 1270 loss: 0.7338646650314331, accy: 0.74
iter: 1280 loss: 0.6859554052352905, accy: 0.82
iter: 1290 loss: 0.730546236038208, accy: 0.74
iter: 1300 loss: 0.7678797245025635, accy: 0.76
iter: 1310 loss: 0.6404034495353699, accy: 0.84
iter: 1320 loss: 0.9022691249847412, accy: 0.76
iter: 1330 loss: 0.7727905511856079, accy: 0.74
iter: 1340 loss: 1.132062315940857, accy: 0.6
iter: 1350 loss: 0.7586609125137329, accy: 0.68
iter: 1360 loss: 0.6010990142822266, accy: 0.82
iter: 1370 loss: 0.6351797580718994, accy: 0.82
iter: 1380 loss: 0.9142839908599854, accy: 0.74
iter: 1390 loss: 0.7327345013618469, accy: 0.7
iter: 1400 loss: 0.9245284199714661, accy: 0.72
iter: 1410 loss: 1.018392562866211, accy: 0.7
iter: 1420 loss: 0.6296401023864746, accy: 0.86
iter: 1430 loss: 0.8176352977752686, accy: 0.7
iter: 1440 loss: 0.6810630559921265, accy: 0.76
iter: 1450 loss: 0.5727444291114807, accy: 0.78
iter: 1460 loss: 0.6598451733589172, accy: 0.76
iter: 1470 loss: 0.5841019153594971, accy: 0.76
iter: 1480 loss: 0.5443454384803772, accy: 0.82
iter: 1490 loss: 0.8724331855773926, accy: 0.78
iter: 1500 loss: 0.549627423286438, accy: 0.84
iter: 1510 loss: 0.7734917402267456, accy: 0.64
iter: 1520 loss: 0.588721752166748, accy: 0.82
iter: 1530 loss: 0.6947795152664185, accy: 0.76
iter: 1540 loss: 0.6582057476043701, accy: 0.78
iter: 1550 loss: 0.6208551526069641, accy: 0.78
iter: 1560 loss: 0.7052429914474487, accy: 0.72
iter: 1570 loss: 0.5435581803321838, accy: 0.8
iter: 1580 loss: 0.6354151964187622, accy: 0.8
iter: 1590 loss: 0.9899949431419373, accy: 0.66
iter: 1600 loss: 0.6917375922203064, accy: 0.76
iter: 1610 loss: 0.7594231963157654, accy: 0.68
iter: 1620 loss: 0.8502359986305237, accy: 0.76
iter: 1630 loss: 0.7522078156471252, accy: 0.74
iter: 1640 loss: 0.7095063924789429, accy: 0.74
iter: 1650 loss: 0.537794291973114, accy: 0.82
iter: 1660 loss: 0.5704149603843689, accy: 0.84
iter: 1670 loss: 0.8386992812156677, accy: 0.74
iter: 1680 loss: 0.6915960907936096, accy: 0.74
iter: 1690 loss: 0.514752209186554, accy: 0.86
iter: 1700 loss: 0.8120420575141907, accy: 0.74
iter: 1710 loss: 0.6831710338592529, accy: 0.76
iter: 1720 loss: 0.6569125652313232, accy: 0.8
iter: 1730 loss: 0.5271010994911194, accy: 0.82
iter: 1740 loss: 0.5094856023788452, accy: 0.84
iter: 1750 loss: 0.7931227684020996, accy: 0.82
iter: 1760 loss: 0.493764728307724, accy: 0.84
iter: 1770 loss: 0.6567776203155518, accy: 0.74
iter: 1780 loss: 0.6194265484809875, accy: 0.82
iter: 1790 loss: 0.6990736126899719, accy: 0.76
iter: 1800 loss: 0.6239172220230103, accy: 0.76
iter: 1810 loss: 0.6141528487205505, accy: 0.82
